Language Literacy,Qualification,Gender,Count,num_languages,education_level_ordinal,gender_numeric,eng_speaker,chi_speaker,malay_speaker,tamil_speaker,total_per_group,percentage
Tamil Only,Professional Qualification and Other Diploma,Females,53,1,6,0,0,0,0,1,130302,0.040674740218876154
Non-Official Language Only,Professional Qualification and Other Diploma,Females,191,1,6,0,0,0,0,0,130302,0.14658255437368575
English & Chinese Only,Professional Qualification and Other Diploma,Females,67262,2,6,0,1,1,0,0,130302,51.62008257739712
English & Malay Only,Professional Qualification and Other Diploma,Females,17442,2,6,0,1,0,1,0,130302,13.385826771653544
English & Tamil Only,Professional Qualification and Other Diploma,Females,4302,2,6,0,1,0,0,1,130302,3.301560989086891
English & Non-Official Language Only,Professional Qualification and Other Diploma,Females,2615,2,6,0,1,0,0,0,130302,2.006876333440776
Other Two Languages Only,Professional Qualification and Other Diploma,Females,151,2,6,0,0,0,0,0,130302,0.11588463722736413
"English, Chinese & Malay Only",Professional Qualification and Other Diploma,Females,14343,3,6,0,1,1,1,0,130302,11.007505640742275
"English, Malay & Tamil Only",Professional Qualification and Other Diploma,Females,817,3,6,0,1,0,1,1,130302,0.6270049577136191
Other Three or More Languages,Professional Qualification and Other Diploma,Females,3357,3,6,0,0,0,0,0,130302,2.5763226965050423
Not Literate,University,Females,24,0,7,0,0,0,0,0,518598,0.004627862043432485
English Only,University,Females,45820,1,7,0,1,0,0,0,518598,8.835359951253187
Chinese Only,University,Females,5347,1,7,0,0,1,0,0,518598,1.031049097759729
Malay Only,University,Females,245,1,7,0,0,0,1,0,518598,0.04724275836003995
Tamil Only,University,Females,396,1,7,0,0,0,0,1,518598,0.076359723716636
Non-Official Language Only,University,Females,744,1,7,0,0,0,0,0,518598,0.14346372334640706
English & Chinese Only,University,Females,317366,2,7,0,1,1,0,0,518598,61.19691938649976
English & Malay Only,University,Females,35873,2,7,0,1,0,1,0,518598,6.917303961835565
English & Tamil Only,University,Females,22461,2,7,0,1,0,0,1,518598,4.331100389897377
English & Non-Official Language Only,University,Females,27152,2,7,0,1,0,0,0,518598,5.235654591803285
Other Two Languages Only,University,Females,303,2,7,0,0,0,0,0,518598,0.05842675829833512
"English, Chinese & Malay Only",University,Females,33333,3,7,0,1,1,1,0,518598,6.427521895572292
"English, Malay & Tamil Only",University,Females,1114,3,7,0,1,0,1,1,518598,0.21480992984932454
Other Three or More Languages,University,Females,28420,3,7,0,0,0,0,0,518598,5.480159969764635
